KODE,NAMA_PRODUK,UNIT,TANGGAL,NO_TRANSAKSI,QTY_MSK,NILAI_MSK,KATEGORI,QTY_TOTAL,NILAI_TOTAL
A000066,ANDALAN KB FE,STRIP,2021-06-22,1.13-210622.1242-001,30.0,6631.89,MASUK,30.0,6631.89
A000066,ANDALAN KB FE,STRIP,2021-06-28,1.11-210628.1522-003,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-07-05,1.11-210705.1955-003,6.0,5170.52,MASUK,6.0,5170.52
A000066,ANDALAN KB FE,STRIP,2021-07-08,1.9-210708.1834-003,50.0,343.25,MASUK,50.0,343.25
A000066,ANDALAN KB FE,STRIP,2021-07-13,1.13-210713.2048-008,30.0,6893.32,MASUK,30.0,6893.32
A000066,ANDALAN KB FE,STRIP,2021-07-16,1.11-210716.0923-001,50.0,343.24,MASUK,50.0,343.24
A000066,ANDALAN KB FE,STRIP,2021-07-22,1.11-210722.1952-006,50.0,343.24,MASUK,50.0,343.24
A000066,ANDALAN KB FE,STRIP,2021-08-02,1.13-210802.1936-006,1.0,5170.58,MASUK,1.0,5170.58
A000066,ANDALAN KB FE,STRIP,2021-08-09,1.13-210809.1822-004,100.0,343.23,MASUK,100.0,343.23
A000066,ANDALAN KB FE,STRIP,2021-08-19,1.13-210819.1241-003,100.0,343.26,MASUK,100.0,343.26
A000066,ANDALAN KB FE,STRIP,2021-08-30,1.13-210830.1548-001,50.0,343.21,MASUK,50.0,343.21
A000066,ANDALAN KB FE,STRIP,2021-09-02,1.11-210902.1627-004,50.0,343.23,MASUK,50.0,343.23
A000066,ANDALAN KB FE,STRIP,2021-09-02,1.11-210902.1627-004,12.0,5170.38,MASUK,12.0,5170.38
A000066,ANDALAN KB FE,STRIP,2021-10-07,1.11-211007.1538-006,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-10-21,1.13-211021.1634-001,50.0,343.23,MASUK,50.0,343.23
A000066,ANDALAN KB FE,STRIP,2021-10-28,1.9-211028.2003-009,12.0,5170.32,MASUK,12.0,5170.32
A000066,ANDALAN KB FE,STRIP,2021-11-08,1.11-211108.1825-005,50.0,343.23,MASUK,50.0,343.23
A000066,ANDALAN KB FE,STRIP,2021-11-18,1.11-211118.0954-013,50.0,343.22,MASUK,50.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-11-25,1.12-211125.1404-001,100.0,343.22,MASUK,100.0,343.22
A000066,ANDALAN KB FE,STRIP,2021-12-16,1.13-211216.1804-002,50.0,343.21,MASUK,50.0,343.21
A000076,ALOFAR 300MG,STRIP,2021-01-06,1.13-210106.0353-002,20.0,5440.78,MASUK,20.0,5440.78
A000076,ALOFAR 300MG,STRIP,2021-02-24,1.12-210224.1121-003,20.0,5450.51,MASUK,20.0,5450.51
A000076,ALOFAR 300MG,STRIP,2021-04-05,1.11-210405.1334-001,10.0,5501.13,MASUK,10.0,5501.13
A000076,ALOFAR 300MG,STRIP,2021-04-07,1.11-210407.1304-003,10.0,5450.79,MASUK,10.0,5450.79
A000076,ALOFAR 300MG,STRIP,2021-05-31,1.11-210531.1351-003,10.0,5500.08,MASUK,10.0,5500.08
A000076,ALOFAR 300MG,STRIP,2021-06-28,1.9-210628.0921-002,10.0,5500.24,MASUK,10.0,5500.24
A000076,ALOFAR 300MG,STRIP,2021-07-05,1.13-210705.1518-002,10.0,5500.33,MASUK,10.0,5500.33
A000076,ALOFAR 300MG,STRIP,2021-07-30,1.13-210730.1659-002,20.0,5450.09,MASUK,20.0,5450.09
A000076,ALOFAR 300MG,STRIP,2021-08-02,1.13-210802.1339-005,20.0,5500.6,MASUK,20.0,5500.6
A000076,ALOFAR 300MG,STRIP,2021-10-18,1.12-211018.1755-003,10.0,5500.13,MASUK,10.0,5500.13
A000076,ALOFAR 300MG,STRIP,2021-11-03,1.11-211103.1356-003,10.0,5450.42,MASUK,10.0,5450.42
A000076,ALOFAR 300MG,STRIP,2021-12-06,1.11-211206.1721-006,10.0,5500.56,MASUK,10.0,5500.56
A000076,ALOFAR 300MG,STRIP,2021-12-22,1.11-211222.1949-009,10.0,5450.49,MASUK,10.0,5450.49
A000076,ALOFAR 300MG,STRIP,2021-12-27,1.13-211227.1712-010,10.0,5500.3,MASUK,10.0,5500.3
A000078,ARKAVIT BOX,STRIP,2021-03-10,1.12-210310.1910-001,10.0,2520.28,MASUK,10.0,2520.28
A000078,ARKAVIT BOX,STRIP,2021-05-12,1.11-210512.1513-006,10.0,2352.04,MASUK,10.0,2352.04
A000078,ARKAVIT BOX,STRIP,2021-06-14,1.11-210614.1822-002,10.0,2352.04,MASUK,10.0,2352.04
A000078,ARKAVIT BOX,STRIP,2021-07-27,1.11-210727.1353-002,10.0,2475.03,MASUK,10.0,2475.03
A000078,ARKAVIT BOX,STRIP,2021-08-06,1.11-210806.1921-006,10.0,2576.02,MASUK,10.0,2576.02
A000078,ARKAVIT BOX,STRIP,2021-09-01,1.11-210901.1440-005,10.0,2576.12,MASUK,10.0,2576.12
A000078,ARKAVIT BOX,STRIP,2021-09-22,1.13-210922.1821-007,10.0,2576.07,MASUK,10.0,2576.07
A000078,ARKAVIT BOX,STRIP,2021-12-02,1.11-211202.1711-006,10.0,2576.1,MASUK,10.0,2576.1
A00008,AKURAT,PCS,2021-01-05,1.11-210105.1405-005,25.0,8883.28,MASUK,25.0,8883.28
A00008,AKURAT,PCS,2021-02-02,1.13-210202.1133-003,25.0,8915.66,MASUK,25.0,8915.66
A00008,AKURAT,PCS,2021-02-17,1.12-210217.1234-003,25.0,8883.58,MASUK,25.0,8883.58
A00008,AKURAT,PCS,2021-03-17,1.11-210317.1521-002,25.0,8884.87,MASUK,25.0,8884.87
A00008,AKURAT,PCS,2021-03-17,1.11-210317.1458-001,25.0,8884.0,MASUK,25.0,8884.0
A00008,AKURAT,PCS,2021-03-17,1.12-210317.1254-006,25.0,8884.0,MASUK,25.0,8884.0
A00008,AKURAT,PCS,2021-06-23,1.13-210623.1130-003,25.0,8884.0,MASUK,25.0,8884.0
A00008,AKURAT,PCS,2021-07-22,1.13-210722.0828-001,25.0,8884.0,MASUK,25.0,8884.0
A00008,AKURAT,PCS,2021-08-25,1.13-210825.1434-007,25.0,8884.0,MASUK,25.0,8884.0
A00008,AKURAT,PCS,2021-09-15,1.13-210915.1118-003,25.0,8882.57,MASUK,25.0,8882.57
A00008,AKURAT,PCS,2021-10-27,1.11-211027.1823-008,25.0,8883.89,MASUK,25.0,8883.89
A00008,AKURAT,PCS,2021-11-02,1.11-211102.1856-008,25.0,8883.65,MASUK,25.0,8883.65
A00008,AKURAT,PCS,2021-12-01,1.12-211201.1305-007,25.0,8884.23,MASUK,25.0,8884.23
A00008,AKURAT,PCS,2021-12-29,1.11-211229.1437-002,25.0,8884.21,MASUK,25.0,8884.21
A00009,ALBOTHYL 10ML,BTL,2021-07-06,1.13-210706.0916-004,2.0,42354.32,MASUK,2.0,42354.32
A00009,ALBOTHYL 10ML,BTL,2021-11-18,1.11-211118.0954-013,2.0,42351.99,MASUK,2.0,42351.99
A0001,AMARYL M 2/500MG,STRIP,2021-08-25,1.11-210825.1748-008,3.0,69841.81,MASUK,3.0,69841.81
A00010,ALBOTHYL 5ML,BTL,2021-02-11,1.9-210211.1731-001,2.0,25302.09,MASUK,2.0,25302.09
A00010,ALBOTHYL 5ML,BTL,2021-03-01,1.13-210301.1340-002,2.0,25302.54,MASUK,2.0,25302.54
A00010,ALBOTHYL 5ML,BTL,2021-03-08,1.12-210308.1840-006,2.0,25302.14,MASUK,2.0,25302.14
A00010,ALBOTHYL 5ML,BTL,2021-04-01,1.11-210401.1627-001,2.0,25300.0,MASUK,2.0,25300.0
A00010,ALBOTHYL 5ML,BTL,2021-04-08,1.11-210408.1308-005,2.0,25301.73,MASUK,2.0,25301.73
A00010,ALBOTHYL 5ML,BTL,2021-04-15,1.11-210415.2007-006,2.0,25302.13,MASUK,2.0,25302.13
A00010,ALBOTHYL 5ML,BTL,2021-05-03,1.11-210503.1247-006,2.0,25301.61,MASUK,2.0,25301.61
A00010,ALBOTHYL 5ML,BTL,2021-05-04,1.9-210504.0826-001,2.0,25301.87,MASUK,2.0,25301.87
A00010,ALBOTHYL 5ML,BTL,2021-05-20,1.13-210520.1831-002,1.0,25301.27,MASUK,1.0,25301.27
A00010,ALBOTHYL 5ML,BTL,2021-06-21,1.13-210621.1328-003,2.0,25302.08,MASUK,2.0,25302.08
A00010,ALBOTHYL 5ML,BTL,2021-07-29,1.11-210729.1615-004,2.0,25302.35,MASUK,2.0,25302.35
A00010,ALBOTHYL 5ML,BTL,2021-08-19,1.13-210819.1241-003,2.0,25304.21,MASUK,2.0,25304.21
A00010,ALBOTHYL 5ML,BTL,2021-08-23,1.13-210823.1648-001,2.0,25302.57,MASUK,2.0,25302.57
A00010,ALBOTHYL 5ML,BTL,2021-10-18,1.13-211018.1852-005,2.0,25300.54,MASUK,2.0,25300.54
A00010,ALBOTHYL 5ML,BTL,2021-11-18,1.11-211118.0954-013,2.0,25301.19,MASUK,2.0,25301.19
A00010,ALBOTHYL 5ML,BTL,2021-12-02,1.11-211202.1319-004,2.0,25302.51,MASUK,2.0,25302.51
A00010,ALBOTHYL 5ML,BTL,2021-12-21,1.13-211221.0910-002,3.0,25301.47,MASUK,3.0,25301.47
A00010,ALBOTHYL 5ML,BTL,2021-12-30,1.13-211230.1830-006,2.0,25301.46,MASUK,2.0,25301.46
A00013,ALLERON,STRIP,2021-02-01,1.11-210201.1345-004,20.0,1047.99,MASUK,20.0,1047.99
A00013,ALLERON,STRIP,2021-02-10,1.9-210210.1310-005,2.0,14692.59,MASUK,2.0,14692.59
A00013,ALLERON,STRIP,2021-02-22,1.11-210222.1223-002,20.0,1048.12,MASUK,20.0,1048.12
A00013,ALLERON,STRIP,2021-05-05,1.13-210505.1754-004,3.0,14690.64,MASUK,3.0,14690.64
A00013,ALLERON,STRIP,2021-06-25,1.11-210625.1349-004,3.0,14693.18,MASUK,3.0,14693.18
A00013,ALLERON,STRIP,2021-08-04,1.11-210804.1457-001,3.0,19950.94,MASUK,3.0,19950.94
A00013,ALLERON,STRIP,2021-08-09,1.9-210809.1722-006,20.0,1047.92,MASUK,20.0,1047.92
A00013,ALLERON,STRIP,2021-09-13,1.11-210913.1618-010,20.0,1047.9,MASUK,20.0,1047.9
A00013,ALLERON,STRIP,2021-10-19,1.11-211019.1244-002,3.0,16512.41,MASUK,3.0,16512.41
A00013,ALLERON,STRIP,2021-11-08,1.11-211108.1811-003,20.0,1047.92,MASUK,20.0,1047.92
A00013,ALLERON,STRIP,2021-11-22,1.11-211122.1252-003,3.0,14092.08,MASUK,3.0,14092.08
A00013,ALLERON,STRIP,2021-11-29,1.9-211129.1354-006,20.0,1047.94,MASUK,20.0,1047.94
A00013,ALLERON,STRIP,2021-12-13,1.11-211213.1321-005,3.0,14092.1,MASUK,3.0,14092.1
A00013,ALLERON,STRIP,2021-12-15,1.12-211215.1720-004,2.0,16513.26,MASUK,2.0,16513.26
A00015,ALLOPURINOL 100MG,STRIP,2021-01-04,1.13-210104.0323-002,10.0,1851.52,MASUK,10.0,1851.52
A00015,ALLOPURINOL 100MG,STRIP,2021-01-11,1.13-210111.0140-007,20.0,1792.4,MASUK,20.0,1792.4
A00015,ALLOPURINOL 100MG,STRIP,2021-01-15,1.13-210115.0442-003,10.0,1800.11,MASUK,10.0,1800.11
A00015,ALLOPURINOL 100MG,STRIP,2021-01-25,1.13-210125.0525-005,20.0,1792.31,MASUK,20.0,1792.31
A00015,ALLOPURINOL 100MG,STRIP,2021-02-01,1.11-210201.1345-004,20.0,1851.66,MASUK,20.0,1851.66
A00015,ALLOPURINOL 100MG,STRIP,2021-02-03,1.11-210203.1242-004,20.0,1800.21,MASUK,20.0,1800.21
A00015,ALLOPURINOL 100MG,STRIP,2021-02-08,1.6-210208.2034-004,10.0,1792.16,MASUK,10.0,1792.16
A00015,ALLOPURINOL 100MG,STRIP,2021-02-16,1.12-210216.1234-001,10.0,1792.3,MASUK,10.0,1792.3
A00015,ALLOPURINOL 100MG,STRIP,2021-02-22,1.13-210222.1931-003,10.0,1792.17,MASUK,10.0,1792.17
A00015,ALLOPURINOL 100MG,STRIP,2021-02-23,1.11-210223.1206-004,20.0,1766.16,MASUK,20.0,1766.16
A00015,ALLOPURINOL 100MG,STRIP,2021-03-03,1.12-210303.1525-004,30.0,1800.11,MASUK,30.0,1800.11
A00015,ALLOPURINOL 100MG,STRIP,2021-03-15,1.9-210315.1955-002,20.0,1792.12,MASUK,20.0,1792.12
A00015,ALLOPURINOL 100MG,STRIP,2021-03-15,1.12-210315.1621-005,20.0,1851.53,MASUK,20.0,1851.53
A00015,ALLOPURINOL 100MG,STRIP,2021-03-24,1.11-210324.1210-003,10.0,1730.16,MASUK,10.0,1730.16
A00015,ALLOPURINOL 100MG,STRIP,2021-04-06,1.11-210406.1403-011,10.0,1852.6,MASUK,10.0,1852.6
A00015,ALLOPURINOL 100MG,STRIP,2021-04-07,1.11-210407.1326-006,20.0,1800.05,MASUK,20.0,1800.05
A00015,ALLOPURINOL 100MG,STRIP,2021-04-13,1.12-210413.1150-002,10.0,1852.6,MASUK,10.0,1852.6
A00015,ALLOPURINOL 100MG,STRIP,2021-04-19,1.11-210419.1508-004,20.0,1851.76,MASUK,20.0,1851.76
